agricultureStructureIndicator,asOfDate,baseFloodElevation,basementEnclosureCrawlspace,reportedCity,condominiumIndicator,policyCount,countyCode,communityRatingSystemDiscount,dateOfLoss,elevatedBuildingIndicator,elevationCertificateIndicator,elevationDifference,censusTract,floodZone,houseWorship,latitude,longitude,locationOfContents,lowestAdjacentGrade,lowestFloorElevation,numberOfFloorsInTheInsuredBuilding,nonProfitIndicator,obstructionType,occupancyType,originalConstructionDate,originalNBDate,amountPaidOnBuildingClaim,amountPaidOnContentsClaim,amountPaidOnIncreasedCostOfComplianceClaim,postFIRMConstructionIndicator,rateMethod,smallBusinessIndicatorBuilding,state,totalBuildingInsuranceCoverage,totalContentsInsuranceCoverage,yearOfLoss,reportedZipcode,primaryResidence,id
0,2021-09-02T02:27:19Z,NA,NA,Temporarily Unavailable,N,1,51125,NA,1992-04-21T04:00:00Z,0,NA,NA,51125950300,AE,0,37.7,-79.1,0,NA,0,1,0,NA,1,2000-01-01T05:00:00Z,1992-08-15T04:00:00Z,1087.5,NA,NA,0,1,0,VA,42400,0,1992,22951,1,613f4808f2b55a0837e19b03
0,2021-09-02T02:27:19Z,NA,NA,Temporarily Unavailable,N,1,51125,NA,1996-09-06T04:00:00Z,0,NA,NA,51125950300,AE,0,37.7,-79.1,0,NA,0,1,0,NA,1,2000-01-01T05:00:00Z,1992-08-15T04:00:00Z,9495.59,NA,NA,0,1,0,VA,42400,0,1996,22951,1,613f4808f2b55a0837e19b04
0,2021-07-25T01:39:04Z,NA,1,Temporarily Unavailable,N,1,51109,NA,2016-04-06T04:00:00Z,0,NA,NA,51109950100,X,0,38.1,-77.8,0,NA,0,2,0,NA,1,1998-01-01T05:00:00Z,2015-01-30T05:00:00Z,NA,NA,NA,1,7,0,VA,250000,100000,2016,23117,1,613f480bf2b55a0837e1c947
0,2021-07-25T01:39:04Z,NA,1,Temporarily Unavailable,N,1,51540,NA,2012-06-01T04:00:00Z,0,NA,NA,51540000700,X,0,38,-78.5,0,NA,0,2,0,NA,1,1952-01-01T05:00:00Z,2008-04-04T04:00:00Z,NA,NA,NA,0,7,0,VA,250000,100000,2012,22903,1,613f480cf2b55a0837e1d385
0,2021-09-02T02:27:19Z,NA,0,Temporarily Unavailable,N,1,51540,NA,2018-07-30T04:00:00Z,0,NA,NA,51540000502,AE,0,38,-78.5,4,NA,0,2,0,NA,1,1968-07-01T04:00:00Z,1997-09-12T04:00:00Z,39026.7,NA,NA,0,1,0,VA,250000,94500,2018,22903,1,613f4811f2b55a0837e23d70
0,2021-07-25T01:39:04Z,NA,1,Temporarily Unavailable,N,1,51003,NA,2018-05-30T04:00:00Z,1,NA,NA,51003011000,AE,0,38.1,-78.6,0,495.8,0,2,0,54,1,1960-01-01T05:00:00Z,2009-08-05T04:00:00Z,58706.92,NA,NA,0,1,0,VA,250000,0,2018,22901,1,613f4825f2b55a0837e39517
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51125,NA,2006-06-28T04:00:00Z,0,NA,NA,51125950100,X,0,37.7,-78.7,0,NA,0,2,0,NA,4,2004-01-01T05:00:00Z,2004-11-14T05:00:00Z,NA,NA,NA,0,1,0,VA,33000,0,2006,24562,0,613f4829f2b55a0837e3d285
0,2021-07-25T01:39:04Z,NA,1,Temporarily Unavailable,N,1,51540,NA,2018-08-01T04:00:00Z,0,NA,NA,51540000402,X,0,38,-78.5,2,NA,0,3,0,NA,1,1959-01-01T05:00:00Z,2017-09-06T04:00:00Z,1747.79,NA,NA,0,7,0,VA,30000,12000,2018,22902,1,613f482af2b55a0837e3e967
0,2021-07-25T01:39:04Z,NA,1,Temporarily Unavailable,N,1,51079,NA,2018-06-01T04:00:00Z,0,NA,NA,51079030101,X,0,38.3,-78.5,0,NA,0,3,0,NA,1,1971-01-01T05:00:00Z,2013-05-22T04:00:00Z,2594.22,NA,NA,0,7,0,VA,50000,20000,2018,22973,1,613f482df2b55a0837e40dfc
0,2021-07-25T01:39:04Z,NA,1,Temporarily Unavailable,N,1,51079,NA,2018-06-22T04:00:00Z,0,NA,NA,51079030101,X,0,38.3,-78.5,0,NA,0,3,0,NA,1,1971-01-01T05:00:00Z,2013-05-22T04:00:00Z,NA,NA,NA,0,7,0,VA,50000,20000,2018,22973,1,613f482df2b55a0837e41090
0,2021-07-25T01:39:04Z,NA,1,Temporarily Unavailable,N,1,51003,NA,2003-09-18T04:00:00Z,0,NA,NA,51003010201,X,0,38.2,-78.4,0,NA,0,2,0,NA,1,1976-01-01T05:00:00Z,2001-10-21T04:00:00Z,NA,NA,NA,0,7,0,VA,125000,30000,2003,22923,1,613f482ef2b55a0837e41b28
0,2021-07-25T01:39:04Z,NA,1,Temporarily Unavailable,N,1,51065,NA,1996-09-06T04:00:00Z,0,NA,NA,51065020200,X,0,37.8,-78.2,0,NA,0,2,0,10,1,1965-01-01T05:00:00Z,1995-09-22T04:00:00Z,NA,NA,NA,0,1,0,VA,100000,50000,1996,23038,0,613f482ef2b55a0837e41eea
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51003,NA,2005-07-17T04:00:00Z,0,NA,NA,51003010700,X,0,38.1,-78.5,0,NA,0,2,0,NA,1,1974-01-01T05:00:00Z,2003-07-20T04:00:00Z,NA,NA,NA,0,7,0,VA,250000,100000,2005,22901,1,613f482ff2b55a0837e426fb
0,2021-07-25T01:39:04Z,NA,1,Temporarily Unavailable,N,1,51003,NA,2010-10-01T04:00:00Z,0,NA,NA,51003011000,X,0,38,-78.6,0,NA,0,3,0,NA,1,1972-01-01T05:00:00Z,2009-12-30T05:00:00Z,NA,NA,NA,0,7,0,VA,125000,50000,2010,22903,0,613f482ef2b55a0837e424ac
0,2021-07-25T01:39:04Z,NA,1,Temporarily Unavailable,N,1,51079,NA,2018-05-30T04:00:00Z,0,NA,NA,51079030101,X,0,38.3,-78.5,0,NA,0,2,0,NA,1,1989-01-01T05:00:00Z,2017-10-11T04:00:00Z,NA,NA,NA,1,7,0,VA,250000,100000,2018,22973,1,613f4832f2b55a0837e463ab
0,2021-07-25T01:39:04Z,NA,1,Temporarily Unavailable,N,1,51079,NA,2013-06-09T04:00:00Z,0,NA,NA,51079030102,X,0,38.3,-78.4,0,NA,0,2,0,NA,1,2010-01-01T05:00:00Z,2011-06-12T04:00:00Z,6429.28,NA,NA,1,7,0,VA,100000,40000,2013,22968,1,613f4833f2b55a0837e4783b
0,2021-07-25T01:39:04Z,NA,1,Temporarily Unavailable,N,1,51079,NA,2015-09-29T04:00:00Z,1,NA,NA,51079030102,X,0,38.3,-78.4,0,NA,0,2,0,60,1,2010-01-01T05:00:00Z,2014-06-12T04:00:00Z,7665.09,NA,NA,1,1,0,VA,100000,0,2015,22968,1,613f4833f2b55a0837e4783c
0,2021-07-25T01:39:04Z,NA,1,Temporarily Unavailable,N,1,51079,NA,2013-01-30T05:00:00Z,0,NA,NA,51079030102,X,0,38.3,-78.4,0,NA,0,2,0,NA,1,2010-01-01T05:00:00Z,2011-06-12T04:00:00Z,6678.42,NA,NA,1,7,0,VA,100000,40000,2013,22968,1,613f4833f2b55a0837e478ef
0,2021-07-25T01:39:04Z,NA,1,Temporarily Unavailable,N,1,51079,NA,2017-07-05T04:00:00Z,1,NA,NA,51079030102,X,0,38.3,-78.4,0,NA,0,2,0,60,1,2010-01-01T05:00:00Z,2014-06-12T04:00:00Z,20705.88,NA,NA,1,1,0,VA,110000,0,2017,22968,1,613f4833f2b55a0837e478f3
0,2021-07-25T01:39:04Z,NA,1,Temporarily Unavailable,N,1,51079,NA,2018-05-31T04:00:00Z,1,NA,NA,51079030102,X,0,38.3,-78.4,0,NA,0,2,0,60,1,2010-01-01T05:00:00Z,2014-06-12T04:00:00Z,15925.09,NA,NA,1,1,0,VA,110000,0,2018,22968,1,613f4833f2b55a0837e478f7
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51540,NA,2002-06-19T04:00:00Z,0,NA,NA,51540000502,X,0,38,-78.5,0,NA,0,2,0,10,1,1994-01-01T05:00:00Z,2001-09-13T04:00:00Z,1902.98,2360,NA,1,7,0,VA,100000,25000,2002,22903,1,613f4834f2b55a0837e48fc8
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51003,NA,2013-06-10T04:00:00Z,0,NA,NA,51003010201,X,0,38.2,-78.5,0,NA,0,1,0,NA,1,1981-01-01T05:00:00Z,2013-04-03T04:00:00Z,4216.12,NA,NA,1,7,0,VA,250000,100000,2013,22936,1,613f4834f2b55a0837e49991
0,2021-07-25T01:39:04Z,NA,1,Temporarily Unavailable,N,1,51079,NA,2014-06-11T04:00:00Z,0,NA,NA,51079030101,X,0,38.3,-78.4,0,NA,0,3,0,NA,1,2002-01-01T05:00:00Z,2011-06-27T04:00:00Z,NA,NA,NA,1,7,0,VA,20000,8000,2014,22968,1,613f4834f2b55a0837e4a5d0
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51125,NA,1996-09-06T04:00:00Z,0,NA,NA,NA,X,0,37.6,-78.8,0,NA,0,2,0,10,1,2020-07-01T04:00:00Z,1987-08-01T04:00:00Z,44300,5612.8,NA,0,1,0,VA,44300,16700,1996,24581,0,613f4835f2b55a0837e4b886
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51540,NA,1994-07-28T04:00:00Z,0,NA,NA,51540000502,X,0,38,-78.5,0,NA,0,4,0,10,1,1974-01-01T05:00:00Z,1992-11-12T05:00:00Z,NA,NA,NA,0,1,0,VA,45000,0,1994,22903,0,613f4835f2b55a0837e4bac1
0,2021-07-25T01:39:04Z,NA,1,Temporarily Unavailable,N,1,51003,NA,2015-09-22T04:00:00Z,0,NA,NA,51003011000,X,0,38,-78.6,0,NA,0,2,0,NA,1,1981-01-01T05:00:00Z,2014-10-19T04:00:00Z,NA,NA,NA,1,7,0,VA,30000,12000,2015,22903,1,613f4837f2b55a0837e4d2fe
0,2021-07-25T01:39:04Z,NA,1,Temporarily Unavailable,N,1,51540,NA,2018-05-30T04:00:00Z,1,NA,NA,51540000502,AE,0,38,-78.5,0,390.8,0,2,0,54,1,1968-01-01T05:00:00Z,2014-11-05T05:00:00Z,6124.17,NA,NA,0,1,0,VA,230000,0,2018,22903,1,613f4837f2b55a0837e4d5fe
0,2021-07-25T01:39:04Z,NA,1,Temporarily Unavailable,N,1,51540,NA,2018-07-31T04:00:00Z,1,NA,NA,51540000502,AE,0,38,-78.5,0,390.8,0,2,0,54,1,1968-01-01T05:00:00Z,2014-11-05T05:00:00Z,22192.41,NA,NA,0,1,0,VA,230000,0,2018,22903,1,613f4837f2b55a0837e4d5ff
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51125,NA,1996-09-06T04:00:00Z,0,NA,NA,51125950100,AE,0,37.8,-78.7,0,NA,0,2,0,10,1,1972-07-01T04:00:00Z,1988-10-17T04:00:00Z,NA,2976.23,NA,0,1,0,VA,55100,16000,1996,22971,1,613f4838f2b55a0837e4fb0d
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51003,NA,1987-09-08T04:00:00Z,0,NA,NA,51003011400,A12,0,37.8,-78.5,4,NA,0,1,0,10,4,1992-10-12T04:00:00Z,1987-02-12T05:00:00Z,6123.62,NA,NA,0,1,0,VA,22000,3200,1987,24590,0,613f4838f2b55a0837e4ffa8
0,2021-09-08T00:26:59Z,NA,1,Temporarily Unavailable,N,1,51003,NA,2018-10-28T04:00:00Z,0,NA,NA,51003010500,X,0,38,-78.4,0,NA,0,3,0,NA,1,2017-01-01T05:00:00Z,2017-09-12T04:00:00Z,67.15,NA,NA,1,7,0,VA,250000,100000,2018,22911,1,613f4839f2b55a0837e51937
0,2021-07-25T01:39:04Z,NA,2,Temporarily Unavailable,N,1,51540,NA,2018-08-01T04:00:00Z,0,NA,NA,51540000201,X,0,38,-78.5,0,NA,0,2,0,NA,1,1959-01-01T05:00:00Z,2018-06-30T04:00:00Z,481.21,NA,NA,0,7,0,VA,150000,60000,2018,22903,1,613f4839f2b55a0837e51996
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51125,NA,2010-01-24T05:00:00Z,0,NA,NA,51125950200,X,0,37.9,-78.9,0,NA,0,2,0,NA,1,2003-01-01T05:00:00Z,2005-01-14T05:00:00Z,NA,NA,NA,1,7,0,VA,250000,100000,2010,22958,1,613f483cf2b55a0837e5431e
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51125,NA,2011-04-16T04:00:00Z,0,NA,NA,51125950200,X,0,37.9,-78.9,0,NA,0,2,0,NA,1,2003-01-01T05:00:00Z,2005-01-14T05:00:00Z,3170.22,NA,NA,1,7,0,VA,250000,100000,2011,22958,1,613f483cf2b55a0837e54320
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51079,NA,1995-06-27T04:00:00Z,0,NA,NA,51079030102,X,0,38.3,-78.4,0,NA,0,3,0,NA,1,1984-01-01T05:00:00Z,1990-09-09T04:00:00Z,NA,NA,NA,0,7,0,VA,20000,5000,1995,22973,1,613f4847f2b55a0837e5d844
0,2021-07-25T01:39:04Z,NA,1,Temporarily Unavailable,N,1,51540,NA,2018-06-01T04:00:00Z,0,NA,NA,51540000502,AE,0,38,-78.5,0,NA,0,2,0,NA,1,1968-01-01T05:00:00Z,2014-07-30T04:00:00Z,1988.61,NA,NA,0,1,0,VA,199700,0,2018,22903,0,613f484ef2b55a0837e66cdd
0,2021-07-25T01:39:04Z,496,4,Temporarily Unavailable,N,1,51003,NA,2018-05-30T04:00:00Z,0,3,-9,51003011000,AE,0,38.1,-78.6,0,488.9,487.1,3,0,NA,1,1980-01-01T05:00:00Z,2000-01-01T05:00:00Z,43081.78,NA,NA,0,1,0,VA,250000,0,2018,22903,1,613f4857f2b55a0837e74e08
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51079,NA,1996-09-05T04:00:00Z,0,NA,NA,51079030102,X,0,38.3,-78.4,0,NA,0,3,0,NA,1,1984-01-01T05:00:00Z,1990-09-09T04:00:00Z,NA,NA,NA,0,7,0,VA,20000,5000,1996,22973,1,613f4858f2b55a0837e75399
0,2021-07-25T01:39:04Z,NA,1,Temporarily Unavailable,N,1,51109,NA,2014-04-30T04:00:00Z,1,NA,NA,51109950400,X,0,38,-78.1,2,NA,0,3,0,60,1,2011-01-01T05:00:00Z,2014-02-28T05:00:00Z,3126.81,NA,NA,1,7,0,VA,50000,20000,2014,23093,1,613f4869f2b55a0837e86439
0,2021-07-25T01:39:04Z,NA,0,Temporarily Unavailable,N,1,51003,NA,2018-05-30T04:00:00Z,0,NA,NA,51003011000,X,0,38,-78.5,4,NA,0,2,0,NA,1,1953-07-01T04:00:00Z,2017-05-15T04:00:00Z,15335.21,NA,NA,1,7,0,VA,100000,40000,2018,22903,1,613f486ff2b55a0837e8bbb2
0,2021-07-25T01:39:04Z,NA,0,Temporarily Unavailable,N,1,51003,NA,2018-07-31T04:00:00Z,0,NA,NA,51003011000,X,0,38,-78.5,4,NA,0,2,0,NA,1,1953-07-01T04:00:00Z,2017-05-15T04:00:00Z,12097.77,8158.53,NA,1,7,0,VA,100000,40000,2018,22903,1,613f486ff2b55a0837e8bbb9
0,2021-07-25T01:39:04Z,NA,2,Temporarily Unavailable,N,1,51540,NA,2010-01-25T05:00:00Z,0,NA,NA,51540000302,AE,0,38,-78.5,0,NA,0,2,0,NA,1,1964-08-27T04:00:00Z,2009-10-01T04:00:00Z,NA,NA,NA,0,1,0,VA,70000,0,2010,22902,0,613f4872f2b55a0837e8f08c
0,2021-07-25T01:39:04Z,NA,1,Temporarily Unavailable,N,1,51003,NA,2009-06-19T04:00:00Z,0,NA,NA,51003011400,X,0,37.8,-78.5,0,NA,0,2,0,NA,3,1990-07-01T04:00:00Z,1996-05-11T04:00:00Z,16762.63,NA,NA,1,1,0,VA,250000,0,2009,24590,0,613f4887f2b55a0837ea4291
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51003,NA,1996-01-20T05:00:00Z,0,NA,NA,51003011400,B,0,37.8,-78.5,4,NA,0,2,0,10,1,1973-01-01T05:00:00Z,1993-07-11T04:00:00Z,14593.21,NA,NA,0,1,0,VA,48000,4600,1996,24590,0,613f4888f2b55a0837ea4a3d
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51003,NA,1996-09-06T04:00:00Z,0,NA,NA,51003011400,B,0,37.8,-78.5,4,NA,0,2,0,10,1,1973-01-01T05:00:00Z,1993-07-11T04:00:00Z,22072.88,4600,NA,0,1,0,VA,48000,4600,1996,24590,0,613f4888f2b55a0837ea4a3e
0,2021-07-25T01:39:04Z,NA,1,Temporarily Unavailable,N,1,51125,NA,2006-10-08T04:00:00Z,0,1,NA,51125950200,C,0,37.9,-78.9,2,NA,0,2,0,NA,1,1990-01-01T05:00:00Z,2003-12-13T05:00:00Z,3642.06,NA,NA,1,7,0,VA,250000,100000,2006,22958,1,613f4889f2b55a0837ea5a23
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51003,NA,1987-09-08T04:00:00Z,0,NA,NA,51003011400,A,0,37.8,-78.6,3,NA,0,1,0,10,1,1974-07-01T04:00:00Z,1986-03-15T05:00:00Z,3262,1063,NA,0,1,0,VA,46400,34400,1987,22937,0,613f489cf2b55a0837eb8986
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51109,NA,1992-04-22T04:00:00Z,0,NA,NA,NA,A,0,38.1,-78.2,4,NA,0,2,0,10,1,2000-07-01T04:00:00Z,1990-06-06T04:00:00Z,32913.04,437.5,NA,0,1,0,VA,126000,5000,1992,22942,0,613f489df2b55a0837eb9315
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51125,NA,1994-07-28T04:00:00Z,0,NA,NA,NA,A,0,37.8,-78.7,3,NA,0,1,0,10,4,1978-07-01T04:00:00Z,1991-12-20T05:00:00Z,1123.83,22313.64,NA,0,1,0,VA,200000,200000,1994,22969,0,613f48a1f2b55a0837ebf114
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51125,NA,1987-09-08T04:00:00Z,0,NA,NA,51125950100,A,0,37.8,-78.7,0,NA,0,1,0,10,4,1974-07-01T04:00:00Z,1986-12-30T05:00:00Z,NA,NA,NA,0,1,0,VA,100000,0,1987,22969,0,613f48a1f2b55a0837ebedde
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51003,NA,1996-01-19T05:00:00Z,0,NA,NA,51003011400,A,0,37.8,-78.5,0,NA,0,1,0,NA,4,2040-07-01T04:00:00Z,1986-09-24T04:00:00Z,488.53,NA,NA,0,1,0,VA,11600,0,1996,24562,0,613f48a1f2b55a0837ebee26
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51540,NA,1996-09-06T04:00:00Z,0,NA,NA,51540000302,A19,0,38,-78.5,3,NA,0,1,0,NA,4,1961-07-01T04:00:00Z,1990-09-22T04:00:00Z,18671.52,6000,NA,0,1,0,VA,125000,6000,1996,22902,0,613f48a1f2b55a0837ebf00d
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51003,NA,1995-07-17T04:00:00Z,0,NA,NA,51003010700,C,0,38.1,-78.5,3,NA,0,1,0,NA,4,1973-07-01T04:00:00Z,1990-06-17T04:00:00Z,NA,21666.56,NA,0,1,0,VA,0,52500,1995,22901,0,613f48a1f2b55a0837ebf089
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51003,NA,1998-05-07T04:00:00Z,0,NA,NA,51003010700,C,0,38.1,-78.5,3,NA,0,1,0,NA,4,1973-07-01T04:00:00Z,1990-06-17T04:00:00Z,NA,6611.95,NA,0,1,0,VA,0,55100,1998,22901,0,613f48a1f2b55a0837ebf08a
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51003,NA,1998-07-09T04:00:00Z,0,NA,NA,51003010700,C,0,38.1,-78.5,3,NA,0,1,0,NA,4,1973-07-01T04:00:00Z,1990-06-17T04:00:00Z,NA,27123.99,NA,0,1,0,VA,0,55100,1998,22901,0,613f48a1f2b55a0837ebf08b
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51003,NA,2000-07-28T04:00:00Z,0,NA,NA,51003010700,C,0,38.1,-78.5,3,NA,0,1,0,NA,4,1973-07-01T04:00:00Z,1990-06-17T04:00:00Z,NA,NA,NA,0,1,0,VA,0,57900,2000,22901,0,613f48a1f2b55a0837ebf08c
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51003,NA,2002-06-19T04:00:00Z,0,NA,NA,51003010700,C,0,38.1,-78.5,3,NA,0,1,0,NA,4,1973-07-01T04:00:00Z,1990-06-17T04:00:00Z,NA,37516.71,NA,0,1,0,VA,0,63800,2002,22901,0,613f48a1f2b55a0837ebf08d
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51540,NA,1996-09-06T04:00:00Z,0,NA,NA,51540000402,B,0,38,-78.5,3,NA,0,1,0,10,4,1972-07-01T04:00:00Z,1996-07-10T04:00:00Z,NA,NA,NA,0,1,0,VA,0,35000,1996,22902,0,613f48a1f2b55a0837ebf2e2
